text,id,from_user,iso_language_code
"Boston Bombing Suspect: Saudi National in Custody, Not Charged or Under Arrest: 
Following the dual explosion... http://t.co/wPlEhOMS7i",324117950774775809,denzix_you,en
"Boston Bombing Suspect: Saudi National in Custody, Not Charged or Under Arrest: 
Following the dual explosion... http://t.co/g9qXPBFZJa",324117952695771137,TheNewsss,en
"At Least 3 Dead, 140 Injured In Boston Marathon Bombing http://t.co/GY59xgXhEe via @HuffPostCrime",324125626284007424,Orikinla,en
"RT @HuffPostWorld: Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing (LIVE UPDATES) http://t.co/4UAtk0dguw",324132606608306176,youngG0422,en
"Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing (LIVE UPDATES) http://t.co/urWl1VIlZK via @HuffPostCrime",324138055772561408,SandyChawan,en
"Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing (LIVE UPDATES) http://t.co/APyPvcCjg2 via @HuffPostCrime",324154782782742529,SanaGem,en
"RT @padrealberto: ""@HuffPostWorld: Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing (LIVE UPDATES) via http://t.co/g9dwQStMGh""",324160230760005632,bppwhalon,en
"Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing (LIVE UPDATES) http://t.co/Xbf6givqby via @HuffPostCrime",324179340675915779,IIxMadManxII,en
"(LIVE UPDATES) #BostonMarathon: At Least 3 Dead, 140 Injured In Marathon Bombing  http://t.co/yqyJopuaNE via @HuffPostCrime",324188481918230528,Lu_is_a,en
"RT @sirdavidD: My heart is broken for the people of Boston, this is unreal. praying for peace, restoration, and JUSTICE. #BostonMarathon",324210976629067776,katyppom,en
"""If you are trying to defeat the human spirit, marathoners are the wrong group to target."" Amen! #BostonMarathon",324219503401644033,CplusRun,en
RT @BBCBreaking: #Boston police confirm another explosion at city's JFK Library following two blasts near #marathon site http://t.co/MvWHPpxXQF,324226045052071936,GabyMonteen,en
RT @BBCBreaking: #Boston police confirm another explosion at city's JFK Library following two blasts near #marathon site http://t.co/MvWHPpxXQF,323932094190439874,ValntineXJack,en
"Boston Explosion News: At Least 3 Dead, 140 Injured In Marathon Bombing (LIVE UPDATES) http://t.co/TDkyVpFHLi via @HuffPostCrime",324227779530985472,DeronDalton,en
RT @ABC: #Breaking: The FAA has issued a Temporary flight restriction over the area of explosion. Effective immediately http://t.co/peuoSZqY6l,324229792834674689,Tarp1969,en
